fold,true_label,RF_Large_Cyst,RF_MCT,RF_Medium_Cyst,RF_Normal_Control,RF_Small_Cyst,XGB_Large_Cyst,XGB_MCT,XGB_Medium_Cyst,XGB_Normal_Control,XGB_Small_Cyst,SVM_Large_Cyst,SVM_MCT,SVM_Medium_Cyst,SVM_Normal_Control,SVM_Small_Cyst,MLP_Large_Cyst,MLP_MCT,MLP_Medium_Cyst,MLP_Normal_Control,MLP_Small_Cyst,QSVM_Large_Cyst,QSVM_MCT,QSVM_Medium_Cyst,QSVM_Normal_Control,QSVM_Small_Cyst,VQC_Large_Cyst,VQC_MCT,VQC_Medium_Cyst,VQC_Normal_Control,VQC_Small_Cyst
1,Small_Cyst,0.302,0.004,0.24,0.002,0.452,0.1656101047992706,0.0492876432836055,0.3387024402618408,0.0517720058560371,0.3946277797222137,0.1423133186361589,0.0729119672167551,0.0842730262626394,0.0684625898644774,0.6320390980199688,0.0005843124818056,0.0002708838146645,0.0131740970537066,0.000191925355466,0.98577880859375,0.1355513714047139,0.0669320599140503,0.0771333883222643,0.0630324726721987,0.6573507076867727,0.2450203302861632,0.1160554004966245,0.2523710439531405,0.1140894599394192,0.2724637653246525
2,Small_Cyst,0.19,0.0,0.35,0.004,0.456,0.1733221858739853,0.0932128056883812,0.1809244453907013,0.104374311864376,0.4481662511825561,0.1624649633653903,0.0714829032859894,0.1460832250101077,0.0665887609635564,0.5533801473749556,0.0293247066438198,0.0024540249723941,0.0896132960915565,0.0019938840996474,0.8766140937805176,0.1495868583520781,0.0635568046902158,0.2106836097325736,0.0575286749957516,0.518644052229381,0.2316834055697626,0.1142300664151695,0.269688999719917,0.1137902497607755,0.2706072785343751
3,Small_Cyst,0.156,0.002,0.288,0.0,0.554,0.0627463087439537,0.047261469066143,0.1372899860143661,0.0503882244229316,0.7023139595985413,0.1067745172484955,0.0694580242003616,0.0981577981495689,0.0645966945367818,0.6610129658647921,0.0024837562814354,0.0006500051822513,0.1063267514109611,0.000449719489552,0.8900898098945618,0.0962069522155076,0.0606942407281658,0.1896570255393744,0.0543449868339866,0.5990967946829652,0.2212360433866325,0.1374930541115228,0.2560370053594499,0.1207722416537973,0.2644616554885973
4,Small_Cyst,0.058,0.022,0.42,0.004,0.496,0.2037828117609024,0.212276354432106,0.201905608177185,0.2204315960407257,0.1616035848855972,0.0627634185249582,0.1153016603339756,0.143543298202433,0.0892603762918173,0.5891312466468158,0.0222897808998823,0.0179828740656375,0.2936978340148926,0.0092188045382499,0.6568107604980469,0.0582849828385038,0.3005014602522981,0.15142532037721,0.1451188316286021,0.3446694049033856,0.1566829118478457,0.2160641179244322,0.1787572750473026,0.2191514642950044,0.2293442308854149
5,Small_Cyst,0.106,0.002,0.37,0.0,0.522,0.4461145997047424,0.0451552234590053,0.3597973585128784,0.0496263690292835,0.0993064045906066,0.0747815015247252,0.0622423993138101,0.3355971055981434,0.0583664334262419,0.4690125601370794,0.0006029295036569,0.0002476431545801,0.347589910030365,0.0003574373549781,0.6512020826339722,0.0768660724971706,0.0604454085290628,0.2604701183844082,0.0536076750801912,0.5486107255091665,0.218350079820858,0.1275835381559993,0.2674469073938215,0.1264332536161893,0.2601862210131319
6,Medium_Cyst,0.204,0.0,0.35,0.0,0.446,0.0540366396307945,0.0391391664743423,0.2595418095588684,0.042462307959795,0.6048200726509094,0.0632600626548066,0.0655113165945178,0.5343746305227574,0.0628376147799647,0.2740163754479533,0.0102561442181468,0.0020074821077287,0.4216729700565338,0.0014524350408464,0.5646108984947205,0.2160814128539706,0.0858463676668686,0.1790485481170817,0.0772787018904865,0.4417449694715924,0.2380979240679016,0.106793923057284,0.2770984539686973,0.122584781110877,0.2554249177952399
7,Medium_Cyst,0.366,0.004,0.334,0.0,0.296,0.0816164687275886,0.0579790286719799,0.100552923977375,0.0612577721476554,0.6985938549041748,0.1931654910542327,0.06067349421171,0.2687571342027877,0.0577424450902994,0.4196614354409701,0.2532648146152496,0.0017123944126069,0.4482605457305908,0.0027668792754411,0.2939953207969665,0.233948231438925,0.0576615711513147,0.2588931134570453,0.0576734897672483,0.3918235941854664,0.2633560020992596,0.1220126986718329,0.254933715052071,0.1194002238094309,0.2402973603674055
8,Medium_Cyst,0.278,0.014,0.362,0.002,0.344,0.1252691894769668,0.0988664627075195,0.1556695848703384,0.0953226834535598,0.5248720645904541,0.2929686226556893,0.0686293956824796,0.1486697628647392,0.061791857591979,0.4279403612051128,0.5439828038215637,0.0021385517902672,0.0322075523436069,0.0022370745427906,0.4194340407848358,0.3192366297702725,0.0721776140966776,0.2034628655370004,0.0548798724641216,0.3502430181319277,0.2706404827530398,0.1350500661707515,0.2057824537522492,0.1327113948432133,0.255815602480746
9,Medium_Cyst,0.314,0.0,0.448,0.0,0.238,0.1636403352022171,0.057227648794651,0.4793181419372558,0.0622746348381042,0.2375392466783523,0.1420779081991351,0.0708625776962462,0.5943185725703615,0.0679330278021767,0.1248079137320805,0.0128203807398676,0.0014559412375092,0.9126206040382384,0.0011287725064903,0.0719742774963378,0.1825204000892141,0.0685699744965389,0.5517242651633221,0.0633432750033036,0.1338420852476213,0.2567962194025736,0.1016436067727989,0.2648082349248745,0.1196199408488376,0.2571319980509154
10,Medium_Cyst,0.11,0.0,0.422,0.0,0.468,0.0624387636780738,0.0559218078851699,0.2761785089969635,0.0601137280464172,0.5453472137451172,0.0888944189490191,0.062104237350305,0.467092224284475,0.0593132290613642,0.3225958903548364,0.0511742755770683,0.0011930656619369,0.3530176281929016,0.0033461537677794,0.5912688970565796,0.2839444984936177,0.0662737961883874,0.256753331150037,0.0625107396869934,0.3305176344809644,0.2471146822705456,0.1191850739890286,0.2712835232302282,0.118147521413335,0.2442691990968626
11,Large_Cyst,0.346,0.0,0.488,0.0,0.166,0.4380749464035034,0.0239709354937076,0.439518541097641,0.0241101533174514,0.0743253827095031,0.2590109339648498,0.0693488685868152,0.3270215360556896,0.0663189927907859,0.2782996686018592,0.5947722792625427,0.0012098475126549,0.3877151608467102,0.0005853085895068,0.0157173573970794,0.3360503429159074,0.0691242397176315,0.4391281493851348,0.0683908425126125,0.0873064254687132,0.253386879677286,0.1150365544486397,0.2544823660673859,0.124201005096557,0.2528931947101313
12,Large_Cyst,0.458,0.0,0.384,0.0,0.158,0.2622230648994446,0.0509905889630317,0.4211531579494476,0.0540565624833107,0.2115766555070877,0.5372705667911266,0.0843657710611254,0.2138959293074481,0.0809229790620754,0.0835447537782239,0.7866081595420837,0.0030291902367025,0.2007429450750351,0.0008075849036686,0.0088121136650443,0.5009796546894987,0.0817368876690022,0.2459302777262082,0.0772165525874273,0.094136627327863,0.2642960469459567,0.1280248030508732,0.2357538610430987,0.1157781534733904,0.2561471354866808
13,Large_Cyst,0.444,0.0,0.352,0.002,0.202,0.0678815394639968,0.0262537337839603,0.5379005670547485,0.0263591837137937,0.3416049480438232,0.3021534293490623,0.0709216618731657,0.4746592996810374,0.0683973650631226,0.083868244033612,0.250600665807724,0.0015691290609538,0.7398168444633484,0.0010240386473014,0.006989283952862,0.2821760091119937,0.0663210243967602,0.514685154689053,0.065305094096863,0.0715127177053298,0.2624273280194136,0.1225532131099705,0.2530486736440203,0.1177907082409882,0.2441800769856072
14,MCT,0.0,0.826,0.004,0.162,0.008,0.0256705898791551,0.8267543315887451,0.0207365378737449,0.0980212464928627,0.0288172736763954,0.0842186776261452,0.5651335495485837,0.0925187048971938,0.1577704933030346,0.1003585746250427,4.402388003654778e-05,0.9996172189712524,5.752160359406844e-05,0.0002270513068651,5.420785237220116e-05,0.0630057178428993,0.6089158650515346,0.066882704016819,0.1457625874290454,0.1154331256597017,0.1379759161606522,0.3093565074294302,0.1302800339502806,0.2826320511954608,0.1397554912641759
