fold,true_label,RF_pred,XGB_pred,MLP_pred,VQC_pred
1,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst
2,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst
3,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst
4,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst
5,Small_Cyst,Small_Cyst,Small_Cyst,Medium_Cyst,Medium_Cyst
6,Medium_Cyst,Small_Cyst,Small_Cyst,Medium_Cyst,Medium_Cyst
7,Medium_Cyst,Large_Cyst,Small_Cyst,Medium_Cyst,Large_Cyst
8,Medium_Cyst,Medium_Cyst,Small_Cyst,Large_Cyst,Large_Cyst
9,Medium_Cyst,Medium_Cyst,Small_Cyst,Medium_Cyst,Medium_Cyst
10,Medium_Cyst,Small_Cyst,Small_Cyst,Large_Cyst,Medium_Cyst
11,Large_Cyst,Medium_Cyst,Small_Cyst,Medium_Cyst,Medium_Cyst
12,Large_Cyst,Large_Cyst,Small_Cyst,Large_Cyst,Large_Cyst
13,Large_Cyst,Large_Cyst,Small_Cyst,Large_Cyst,Large_Cyst
14,MCT,MCT,Small_Cyst,MCT,MCT
15,MCT,MCT,Small_Cyst,MCT,MCT
16,MCT,MCT,Small_Cyst,MCT,MCT
17,MCT,MCT,Small_Cyst,MCT,MCT
18,MCT,MCT,Small_Cyst,MCT,MCT
19,Normal_Control,Normal_Control,Small_Cyst,Normal_Control,MCT
20,Normal_Control,Normal_Control,Small_Cyst,Normal_Control,Normal_Control
21,Normal_Control,Normal_Control,Small_Cyst,Normal_Control,MCT
