fold,true_label,RF_Large_Cyst,RF_MCT,RF_Medium_Cyst,RF_Normal_Control,RF_Small_Cyst,XGB_Large_Cyst,XGB_MCT,XGB_Medium_Cyst,XGB_Normal_Control,XGB_Small_Cyst,SVM_Large_Cyst,SVM_MCT,SVM_Medium_Cyst,SVM_Normal_Control,SVM_Small_Cyst,MLP_Large_Cyst,MLP_MCT,MLP_Medium_Cyst,MLP_Normal_Control,MLP_Small_Cyst
1,Small_Cyst,0.302,0.004,0.24,0.002,0.452,0.16561010479927063,0.049287643283605576,0.3387024402618408,0.05177200585603714,0.39462777972221375,0.1423133186361589,0.07291196721675514,0.08427302626263941,0.06846258986447747,0.6320390980199688,0.0005843124818056822,0.0002708838146645576,0.013174097053706646,0.0001919253554660827,0.98577880859375
2,Small_Cyst,0.19,0.0,0.35,0.004,0.456,0.1733221858739853,0.0932128056883812,0.1809244453907013,0.10437431186437607,0.44816625118255615,0.16246496336539037,0.07148290328598941,0.14608322501010776,0.06658876096355648,0.5533801473749556,0.02932470664381981,0.0024540249723941088,0.08961329609155655,0.0019938840996474028,0.8766140937805176
3,Small_Cyst,0.156,0.002,0.288,0.0,0.554,0.0627463087439537,0.047261469066143036,0.13728998601436615,0.05038822442293167,0.7023139595985413,0.10677451724849552,0.06945802420036166,0.09815779814956893,0.06459669453678181,0.6610129658647921,0.0024837562814354897,0.0006500051822513342,0.10632675141096115,0.00044971948955208063,0.8900898098945618
4,Small_Cyst,0.058,0.022,0.42,0.004,0.496,0.2037828117609024,0.21227635443210602,0.20190560817718506,0.2204315960407257,0.16160358488559723,0.06276341852495823,0.11530166033397565,0.14354329820243303,0.08926037629181738,0.5891312466468158,0.022289780899882317,0.01798287406563759,0.2936978340148926,0.00921880453824997,0.6568107604980469
5,Small_Cyst,0.106,0.002,0.37,0.0,0.522,0.44611459970474243,0.045155223459005356,0.3597973585128784,0.049626369029283524,0.09930640459060669,0.07478150152472524,0.06224239931381011,0.33559710559814343,0.05836643342624198,0.4690125601370794,0.0006029295036569238,0.0002476431545801461,0.347589910030365,0.00035743735497817397,0.6512020826339722
6,Medium_Cyst,0.204,0.0,0.35,0.0,0.446,0.054036639630794525,0.039139166474342346,0.2595418095588684,0.042462307959795,0.6048200726509094,0.06326006265480667,0.06551131659451782,0.5343746305227574,0.06283761477996475,0.2740163754479533,0.010256144218146801,0.0020074821077287197,0.4216729700565338,0.001452435040846467,0.5646108984947205
7,Medium_Cyst,0.366,0.004,0.334,0.0,0.296,0.08161646872758865,0.057979028671979904,0.10055292397737503,0.06125777214765549,0.6985938549041748,0.1931654910542327,0.060673494211710005,0.2687571342027877,0.05774244509029944,0.4196614354409701,0.25326481461524963,0.0017123944126069546,0.4482605457305908,0.0027668792754411697,0.29399532079696655
8,Medium_Cyst,0.278,0.014,0.362,0.002,0.344,0.12526918947696686,0.09886646270751953,0.15566958487033844,0.09532268345355988,0.5248720645904541,0.2929686226556893,0.06862939568247964,0.14866976286473924,0.06179185759197905,0.4279403612051128,0.5439828038215637,0.002138551790267229,0.03220755234360695,0.0022370745427906513,0.4194340407848358
9,Medium_Cyst,0.314,0.0,0.448,0.0,0.238,0.1636403352022171,0.05722764879465103,0.47931814193725586,0.06227463483810425,0.23753924667835236,0.14207790819913518,0.07086257769624628,0.5943185725703615,0.06793302780217672,0.12480791373208058,0.012820380739867687,0.0014559412375092506,0.9126206040382385,0.0011287725064903498,0.07197427749633789
10,Medium_Cyst,0.11,0.0,0.422,0.0,0.468,0.06243876367807388,0.05592180788516998,0.2761785089969635,0.060113728046417236,0.5453472137451172,0.08889441894901912,0.06210423735030509,0.467092224284475,0.05931322906136424,0.32259589035483643,0.05117427557706833,0.0011930656619369984,0.3530176281929016,0.0033461537677794695,0.5912688970565796
11,Large_Cyst,0.346,0.0,0.488,0.0,0.166,0.4380749464035034,0.023970935493707657,0.439518541097641,0.024110153317451477,0.07432538270950317,0.2590109339648498,0.06934886858681522,0.3270215360556896,0.0663189927907859,0.27829966860185923,0.5947722792625427,0.0012098475126549602,0.3877151608467102,0.0005853085895068944,0.015717357397079468
12,Large_Cyst,0.458,0.0,0.384,0.0,0.158,0.2622230648994446,0.05099058896303177,0.42115315794944763,0.0540565624833107,0.2115766555070877,0.5372705667911266,0.08436577106112546,0.21389592930744816,0.08092297906207549,0.08354475377822396,0.7866081595420837,0.0030291902367025614,0.2007429450750351,0.0008075849036686122,0.008812113665044308
13,Large_Cyst,0.444,0.0,0.352,0.002,0.202,0.06788153946399689,0.026253733783960342,0.5379005670547485,0.026359183713793755,0.34160494804382324,0.30215342934906236,0.07092166187316577,0.4746592996810374,0.06839736506312268,0.08386824403361201,0.250600665807724,0.0015691290609538555,0.7398168444633484,0.001024038647301495,0.006989283952862024
14,MCT,0.0,0.826,0.004,0.162,0.008,0.02567058987915516,0.8267543315887451,0.020736537873744965,0.0980212464928627,0.028817273676395416,0.08421867762614521,0.5651335495485837,0.09251870489719383,0.15777049330303466,0.10035857462504275,4.402388003654778e-05,0.9996172189712524,5.752160359406844e-05,0.00022705130686517805,5.420785237220116e-05
15,MCT,0.004,0.832,0.004,0.134,0.026,0.19155660271644592,0.28027471899986267,0.1309705376625061,0.1969001740217209,0.2002979964017868,0.09253357818166341,0.5280101127666577,0.14418349516181211,0.1329669070241705,0.10230590686569621,0.0008579452987760305,0.9960065484046936,0.0001286735787289217,0.0023888247087597847,0.0006180197233334184
16,MCT,0.0,0.726,0.0,0.256,0.018,0.11811656504869461,0.5243005156517029,0.08313532918691635,0.15943270921707153,0.11501486599445343,0.0673997516819011,0.5626477194909901,0.10856253630073333,0.16453816050688444,0.09685183201949107,3.767397356568836e-05,0.9935412406921387,0.00014173806994222105,0.006226856727153063,5.252852861303836e-05
17,MCT,0.0,0.892,0.0,0.108,0.0,0.028969820588827133,0.8712028861045837,0.02351398952305317,0.04299251362681389,0.033320773392915726,0.07762614510999827,0.5941204485546113,0.10409811664615731,0.15406028418053228,0.07009500550870092,2.994586611748673e-05,0.9991451501846313,7.258079858729616e-05,0.0006830639322288334,6.920220766915008e-05
18,MCT,0.0,0.832,0.008,0.156,0.004,0.11419267952442169,0.5061715245246887,0.07987916469573975,0.19391684234142303,0.1058397889137268,0.06544977034978583,0.583991780250561,0.10463594871684856,0.14515979285904218,0.1007627078237623,6.539082096423954e-05,0.9992052912712097,1.1928911590075586e-05,0.0006380010163411498,7.938464841572568e-05
19,Normal_Control,0.0,0.212,0.0,0.78,0.008,0.028818387538194656,0.31000542640686035,0.019608542323112488,0.6162248253822327,0.025342833250761032,0.10570438235752534,0.5303519913691261,0.20483835906804743,0.030242298008786965,0.1288629691965145,2.576585393399e-05,0.0853336900472641,3.60461745003704e-05,0.9145580530166626,4.64266340713948e-05
20,Normal_Control,0.0,0.494,0.0,0.502,0.004,0.10348016768693924,0.47118884325027466,0.0813027173280716,0.23772557079792023,0.10630267858505249,0.107663829403209,0.5026535482676526,0.14594483133907368,0.10706012801809486,0.13667766297197026,0.00026701349997892976,0.5615834593772888,0.00029441536753438413,0.4377666413784027,8.846970740705729e-05
21,Normal_Control,0.0,0.116,0.0,0.882,0.002,0.0490298755466938,0.08449812978506088,0.03244495764374733,0.7903352379798889,0.04369175806641579,0.12852234715995556,0.3695237870414571,0.2212405287982378,0.15928023971406785,0.1214330972862821,7.499196362914518e-05,0.0009871397633105516,7.246532732096966e-06,0.998923122882843,7.395613010885427e-06
