fold,true_label,RF_pred,XGB_pred,SVM_pred,MLP_pred,SVM_best_C,SVM_best_gamma
1,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,10,scale
2,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,10,scale
3,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,Small_Cyst,10,scale
4,Small_Cyst,Small_Cyst,Normal_Control,Small_Cyst,Small_Cyst,100,scale
5,Small_Cyst,Small_Cyst,Large_Cyst,Small_Cyst,Small_Cyst,10,scale
6,Medium_Cyst,Small_Cyst,Small_Cyst,Medium_Cyst,Small_Cyst,100,scale
7,Medium_Cyst,Large_Cyst,Small_Cyst,Medium_Cyst,Medium_Cyst,10,scale
8,Medium_Cyst,Medium_Cyst,Small_Cyst,Large_Cyst,Large_Cyst,10,0.01
9,Medium_Cyst,Medium_Cyst,Medium_Cyst,Medium_Cyst,Medium_Cyst,100,scale
10,Medium_Cyst,Small_Cyst,Small_Cyst,Medium_Cyst,Small_Cyst,100,scale
11,Large_Cyst,Medium_Cyst,Medium_Cyst,Large_Cyst,Large_Cyst,10,0.01
12,Large_Cyst,Large_Cyst,Medium_Cyst,Large_Cyst,Large_Cyst,100,scale
13,Large_Cyst,Large_Cyst,Medium_Cyst,Large_Cyst,Medium_Cyst,100,scale
14,MCT,MCT,MCT,MCT,MCT,100,0.01
15,MCT,MCT,MCT,MCT,MCT,10,0.01
16,MCT,MCT,MCT,MCT,MCT,10,0.01
17,MCT,MCT,MCT,MCT,MCT,100,scale
18,MCT,MCT,MCT,MCT,MCT,100,scale
19,Normal_Control,Normal_Control,Normal_Control,Normal_Control,Normal_Control,10,scale
20,Normal_Control,Normal_Control,MCT,MCT,MCT,10,scale
21,Normal_Control,Normal_Control,Normal_Control,Normal_Control,Normal_Control,100,scale
