fold,true_label,QSVM_Large_Cyst,QSVM_MCT,QSVM_Medium_Cyst,QSVM_Normal_Control,QSVM_Small_Cyst
1,Small_Cyst,0.1355513714047139,0.06693205991405037,0.07713338832226434,0.06303247267219876,0.6573507076867727
2,Small_Cyst,0.14958685835207816,0.06355680469021588,0.2106836097325736,0.05752867499575161,0.518644052229381
3,Small_Cyst,0.09620695221550768,0.060694240728165864,0.18965702553937444,0.0543449868339866,0.5990967946829652
4,Small_Cyst,0.058284982838503835,0.3005014602522981,0.15142532037721002,0.1451188316286021,0.34466940490338566
5,Small_Cyst,0.07686607249717067,0.06044540852906288,0.2604701183844082,0.053607675080191285,0.5486107255091665
6,Medium_Cyst,0.21608141285397067,0.0858463676668686,0.17904854811708174,0.07727870189048658,0.4417449694715924
7,Medium_Cyst,0.23394823143892501,0.05766157115131478,0.25889311345704535,0.05767348976724839,0.3918235941854664
8,Medium_Cyst,0.31923662977027256,0.0721776140966776,0.2034628655370004,0.05487987246412167,0.3502430181319277
9,Medium_Cyst,0.18252040008921416,0.06856997449653897,0.5517242651633221,0.0633432750033036,0.13384208524762134
10,Medium_Cyst,0.28394449849361775,0.0662737961883874,0.25675333115003707,0.0625107396869934,0.33051763448096444
11,Large_Cyst,0.33605034291590746,0.06912423971763157,0.43912814938513484,0.06839084251261254,0.08730642546871328
12,Large_Cyst,0.5009796546894987,0.08173688766900228,0.2459302777262082,0.07721655258742738,0.09413662732786302
13,Large_Cyst,0.2821760091119937,0.06632102439676028,0.514685154689053,0.06530509409686308,0.07151271770532985
14,MCT,0.06300571784289938,0.6089158650515346,0.066882704016819,0.14576258742904546,0.11543312565970175
15,MCT,0.06399788086685812,0.5994458584311163,0.1015177818419292,0.15009373136406362,0.08494474749603234
16,MCT,0.05379831197755071,0.5746299999363321,0.07685069511391313,0.1848787619700672,0.109842231002137
17,MCT,0.057746878098540164,0.597755469016762,0.08134572635563618,0.15576763765821036,0.1073842888708514
18,MCT,0.0601392834709987,0.6073077978823872,0.07609386912605194,0.14703382332749176,0.10942522619307035
19,Normal_Control,0.0667828565659269,0.7254414983027933,0.08884098817068206,0.022431046219721848,0.09650361074087617
20,Normal_Control,0.07122007783361023,0.6082592320752702,0.0827073155334873,0.11911840265700918,0.11869497190062338
21,Normal_Control,0.09988668193370635,0.408172357644077,0.14528348489484777,0.18812166447052747,0.15853581105684156
