fold,true_label,QSVM_pred,QSVM_best_C
1,Small_Cyst,Small_Cyst,10
2,Small_Cyst,Small_Cyst,10
3,Small_Cyst,Small_Cyst,10
4,Small_Cyst,Small_Cyst,10
5,Small_Cyst,Small_Cyst,10
6,Medium_Cyst,Medium_Cyst,10
7,Medium_Cyst,Small_Cyst,10
8,Medium_Cyst,Large_Cyst,10
9,Medium_Cyst,Medium_Cyst,100
10,Medium_Cyst,Medium_Cyst,10
11,Large_Cyst,Large_Cyst,100
12,Large_Cyst,Large_Cyst,100
13,Large_Cyst,Large_Cyst,10
14,MCT,MCT,10
15,MCT,MCT,10
16,MCT,MCT,10
17,MCT,MCT,10
18,MCT,MCT,10
19,Normal_Control,Normal_Control,10
20,Normal_Control,Normal_Control,10
21,Normal_Control,Normal_Control,100
