fold,true_label,VQC_pred,VQC_angle_pred
1,Small_Cyst,Small_Cyst,Medium_Cyst
2,Small_Cyst,Small_Cyst,Medium_Cyst
3,Small_Cyst,Small_Cyst,Small_Cyst
4,Small_Cyst,Small_Cyst,Medium_Cyst
5,Small_Cyst,Medium_Cyst,Small_Cyst
6,Medium_Cyst,Medium_Cyst,Large_Cyst
7,Medium_Cyst,Large_Cyst,Large_Cyst
8,Medium_Cyst,Large_Cyst,Small_Cyst
9,Medium_Cyst,Medium_Cyst,Medium_Cyst
10,Medium_Cyst,Medium_Cyst,Large_Cyst
11,Large_Cyst,Medium_Cyst,Medium_Cyst
12,Large_Cyst,Large_Cyst,Medium_Cyst
13,Large_Cyst,Large_Cyst,Small_Cyst
14,MCT,MCT,MCT
15,MCT,MCT,MCT
16,MCT,MCT,MCT
17,MCT,MCT,Normal_Control
18,MCT,MCT,MCT
19,Normal_Control,MCT,MCT
20,Normal_Control,Normal_Control,MCT
21,Normal_Control,MCT,MCT
