fold,true_label,VQC_pred,final_train_cost,train_acc
1,Small_Cyst,Small_Cyst,1.245580044695422,0.6
2,Small_Cyst,Small_Cyst,1.2543124592674544,0.65
3,Small_Cyst,Small_Cyst,1.2672177906917095,0.8
4,Small_Cyst,Small_Cyst,1.2742381797882643,0.7
5,Small_Cyst,Medium_Cyst,1.2736299019803963,0.7
6,Medium_Cyst,Medium_Cyst,1.2525723438754628,0.45
7,Medium_Cyst,Large_Cyst,1.2534263790641627,0.65
8,Medium_Cyst,Large_Cyst,1.264526788943538,0.8
9,Medium_Cyst,Medium_Cyst,1.252337351422745,0.55
10,Medium_Cyst,Medium_Cyst,1.2601548361171768,0.6
11,Large_Cyst,Medium_Cyst,1.2764934989952275,0.5
12,Large_Cyst,Large_Cyst,1.2584880714416344,0.7
13,Large_Cyst,Large_Cyst,1.253796576838272,0.8
14,MCT,MCT,1.2724249070808669,0.6
15,MCT,MCT,1.2532286691917478,0.7
16,MCT,MCT,1.2639204674531888,0.65
17,MCT,MCT,1.248205513458434,0.65
18,MCT,MCT,1.2727562979477067,0.85
19,Normal_Control,MCT,1.24259789760585,0.8
20,Normal_Control,Normal_Control,1.263464183994325,0.75
21,Normal_Control,MCT,1.2695837885205286,0.6
